cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:           3042000084
 a: add:          15246329968 size:           6084000168
 x: add:          21330330136 size:             12000016
 z: add:          21342330152 size:             12000016
 p: add:          21354330168 size:             12000016
 r: add:          21378330200 size:             12000016
 q: add:          21366330184 size:             12000016
loc(sm) = 0x4fd980e00	loc(add)=0x7fff01979948


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:     1
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x4fd980e00

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x4fd980e00
stop loc(add)0x4fd980e00

Memory read sampling results
pc=402942, @=140733220095368, src level=L1 Hit, latency=447
pc=402942, @=140733220095368, src level=L1 Hit, latency=500
pc=40293c, @=21359661160, src level=Remote RAM 1 hop Hit, latency=662
pc=40293c, @=21358914592, src level=L3 Hit, latency=93
pc=402942, @=140733220095368, src level=L1 Hit, latency=415
pc=402932, @=7614912, src level=Local RAM Hit, latency=229
pc=402942, @=140733220095368, src level=L1 Hit, latency=399
pc=402942, @=140733220095368, src level=L1 Hit, latency=415
pc=402942, @=140733220095368, src level=L1 Hit, latency=399
pc=40293c, @=21354769808, src level=L3 Hit, latency=41
pc=402942, @=140733220095368, src level=L1 Hit, latency=532
pc=402942, @=140733220095368, src level=L1 Hit, latency=406
pc=402936, @=15251883936, src level=LFB Hit, latency=70
pc=402936, @=15252271712, src level=LFB Hit, latency=155
pc=40293c, @=21361715304, src level=L3 Hit, latency=51
pc=40293c, @=21355234680, src level=L3 Hit, latency=44
pc=402942, @=140733220095368, src level=L1 Hit, latency=435
pc=40293c, @=21363586680, src level=L3 Hit, latency=52
pc=40293c, @=21363716512, src level=L3 Hit, latency=35
pc=402936, @=15254504456, src level=LFB Hit, latency=185
pc=402936, @=15254866040, src level=LFB Hit, latency=147
pc=40293c, @=21354530672, src level=L3 Hit, latency=67
pc=40293c, @=21360112776, src level=L3 Hit, latency=47
pc=402942, @=140733220095368, src level=L1 Hit, latency=390
pc=402942, @=140733220095368, src level=L1 Hit, latency=187
pc=402942, @=140733220095368, src level=L1 Hit, latency=257
pc=402936, @=15257001280, src level=LFB Hit, latency=200
pc=402942, @=140733220095368, src level=L1 Hit, latency=221
pc=40293c, @=21355662864, src level=L3 Hit, latency=54
pc=402942, @=140733220095368, src level=L1 Hit, latency=404
pc=40293c, @=21356628872, src level=L3 Hit, latency=44
pc=40293c, @=21362085984, src level=L3 Hit, latency=64
pc=40293c, @=21355050208, src level=L3 Hit, latency=54
pc=40293c, @=21355497840, src level=L3 Hit, latency=47
pc=40293c, @=21360818952, src level=L3 Hit, latency=40
pc=402936, @=15260180552, src level=LFB Hit, latency=271
pc=40293c, @=21356030184, src level=L3 Hit, latency=51
pc=402936, @=15260887968, src level=LFB Hit, latency=158
pc=402942, @=140733220095368, src level=L1 Hit, latency=175
pc=40293c, @=21363309904, src level=L3 Hit, latency=56
pc=402936, @=15261930568, src level=LFB Hit, latency=59
pc=40293c, @=21363271824, src level=L3 Hit, latency=38
pc=402942, @=140733220095368, src level=L1 Hit, latency=145
pc=402942, @=140733220095368, src level=L1 Hit, latency=296
pc=402942, @=140733220095368, src level=L1 Hit, latency=154
pc=40293c, @=21361821280, src level=L3 Hit, latency=38
pc=402942, @=140733220095368, src level=L1 Hit, latency=154
pc=402936, @=15264378624, src level=LFB Hit, latency=113
pc=40293c, @=21358284536, src level=L3 Hit, latency=36
pc=402936, @=15265047904, src level=LFB Hit, latency=31
pc=40293c, @=21361960912, src level=L3 Hit, latency=48
pc=402942, @=140733220095368, src level=L1 Hit, latency=156
pc=402942, @=140733220095368, src level=L1 Hit, latency=157
pc=402936, @=15266457352, src level=LFB Hit, latency=120
pc=40293c, @=21357876952, src level=L3 Hit, latency=72
pc=402942, @=140733220095368, src level=L1 Hit, latency=221
pc=402936, @=15267499336, src level=LFB Hit, latency=174
pc=40293c, @=21358039504, src level=L3 Hit, latency=39
pc=402942, @=140733220095368, src level=L1 Hit, latency=373
pc=40293c, @=21356185184, src level=L3 Hit, latency=51
pc=402942, @=140733220095368, src level=L1 Hit, latency=196
pc=402936, @=15269242392, src level=LFB Hit, latency=81
pc=402936, @=15269587216, src level=LFB Hit, latency=157
pc=402936, @=15269925616, src level=LFB Hit, latency=267
pc=402942, @=140733220095368, src level=L1 Hit, latency=283
pc=40293c, @=21358196952, src level=L3 Hit, latency=50
pc=402942, @=140733220095368, src level=L1 Hit, latency=145
pc=402932, @=18812996, src level=LFB Hit, latency=197
pc=40293c, @=21358502896, src level=L3 Hit, latency=54
pc=402942, @=140733220095368, src level=L1 Hit, latency=195
